epoch,label_loss,coral_loss,total_loss
0,0.7007641196250916,2.7004178264178336e-05,0.7007911205291748
1,0.7000642418861389,2.0555888113449328e-05,0.7000848054885864
2,0.6919296383857727,2.2816151613369584e-05,0.6919524669647217
3,0.6873643398284912,2.1276926418067887e-05,0.687385618686676
4,0.6857638955116272,2.1976757125230506e-05,0.6857858896255493
5,0.6777291893959045,2.148055318684783e-05,0.6777506470680237
6,0.6755886077880859,2.0964133000234142e-05,0.6756095886230469
7,0.6665023565292358,1.959198561962694e-05,0.6665219664573669
8,0.6676599979400635,2.2974174498813227e-05,0.667682945728302
9,0.661492645740509,2.294149271619972e-05,0.6615155935287476
10,0.6606580018997192,2.4872522772056982e-05,0.6606828570365906
11,0.6546740531921387,2.6451580197317526e-05,0.654700517654419
12,0.6522525548934937,2.7399950340623036e-05,0.6522799730300903
13,0.6418493390083313,3.0664676160085946e-05,0.6418799757957458
14,0.6421983242034912,3.354442014824599e-05,0.6422318816184998
15,0.6377332806587219,3.564054350135848e-05,0.6377689242362976
16,0.6323493719100952,4.136052666581236e-05,0.6323907375335693
17,0.6285363435745239,4.594423808157444e-05,0.6285822987556458
18,0.6224309206008911,5.112743747304194e-05,0.6224820613861084
19,0.6209838390350342,5.808425339637324e-05,0.6210418939590454
20,0.6128865480422974,6.299167580436915e-05,0.612949550151825
21,0.6124335527420044,7.268037734320387e-05,0.6125062108039856
22,0.6102668642997742,8.102580613922328e-05,0.6103478670120239
23,0.6057881712913513,8.829408034216613e-05,0.6058764457702637
24,0.5995477437973022,0.00010577306966297328,0.5996535420417786
25,0.5904502868652344,0.00012375536607578397,0.5905740261077881
26,0.5942769646644592,0.00014081837434787303,0.5944178104400635
27,0.5849242210388184,0.0001541837555123493,0.5850784182548523
28,0.5786551833152771,0.00017475153435952961,0.5788299441337585
29,0.5838759541511536,0.0001945952099049464,0.5840705633163452
