epoch,label_loss,coral_loss,total_loss
0,0.7293598651885986,0.00011508735042298213,0.7294749617576599
1,0.724067211151123,0.00013299503189045936,0.7242001891136169
2,0.7202284932136536,0.00015603720385115594,0.7203845381736755
3,0.7125021815299988,0.00014384370297193527,0.7126460075378418
4,0.7065761685371399,0.00014579095295630395,0.7067219614982605
5,0.6985631585121155,0.00015376524243038148,0.698716938495636
6,0.6989113688468933,0.00014673091936856508,0.6990581154823303
7,0.6898500323295593,0.00016733570373617113,0.6900173425674438
8,0.6861353516578674,0.00016398730804212391,0.6862993240356445
9,0.6775110363960266,0.00014327565440908074,0.6776543259620667
10,0.6721132397651672,0.00017049815505743027,0.6722837090492249
11,0.6674466133117676,0.000179989670868963,0.6676266193389893
12,0.6671158671379089,0.00017745449440553784,0.6672933101654053
13,0.6599158644676208,0.00018784408166538924,0.6601037383079529
14,0.6505764126777649,0.000182201067218557,0.6507586240768433
15,0.6463821530342102,0.00020827360276598483,0.6465904116630554
16,0.6344437003135681,0.00018132055993191898,0.6346250176429749
17,0.6333203911781311,0.00020247562497388572,0.6335228681564331
18,0.6284329295158386,0.0002006594295380637,0.6286336183547974
19,0.6167874932289124,0.00021234145970083773,0.6169998049736023
20,0.6158570647239685,0.00022427996736951172,0.6160813570022583
21,0.612123429775238,0.0002139880380127579,0.6123374104499817
22,0.6035722494125366,0.00020807853434234858,0.6037803292274475
23,0.5956241488456726,0.00020909978775307536,0.5958332419395447
24,0.5852577686309814,0.00023593090008944273,0.5854936838150024
25,0.583078145980835,0.0002324214146938175,0.5833105444908142
26,0.5791240930557251,0.00024548033252358437,0.5793695449829102
27,0.577627956867218,0.00025204967823810875,0.5778800249099731
28,0.5680474638938904,0.00026936395443044603,0.5683168172836304
29,0.5630046129226685,0.0002816634951159358,0.563286304473877
