epoch,label_loss,domain_loss,total_loss
0,0.6793429851531982,1.387678623199463,2.067021608352661
1,0.6750056743621826,1.3858178853988647,2.060823440551758
2,0.6706677079200745,1.3842438459396362,2.0549116134643555
3,0.6667470335960388,1.382420539855957,2.0491676330566406
4,0.6617870926856995,1.3831374645233154,2.04492449760437
5,0.6573091745376587,1.3822433948516846,2.039552688598633
6,0.6545445322990417,1.3830246925354004,2.037569284439087
7,0.6525130867958069,1.3827321529388428,2.035245180130005
8,0.6490842700004578,1.3840577602386475,2.03314208984375
9,0.6443867683410645,1.3837227821350098,2.028109550476074
10,0.6429569125175476,1.385008692741394,2.027965545654297
11,0.6417752504348755,1.3862886428833008,2.0280637741088867
12,0.6341042518615723,1.3883588314056396,2.022463083267212
13,0.6345785856246948,1.3896733522415161,2.024251937866211
14,0.6318355202674866,1.391061544418335,2.0228970050811768
15,0.6277430653572083,1.3914989233016968,2.01924204826355
16,0.62542325258255,1.3929216861724854,2.0183448791503906
17,0.6192271113395691,1.395019769668579,2.014246940612793
18,0.6207266449928284,1.3954710960388184,2.016197681427002
19,0.6160450577735901,1.3971621990203857,2.013207197189331
20,0.6106090545654297,1.3982503414154053,2.008859395980835
21,0.6115467548370361,1.3997535705566406,2.0113003253936768
22,0.6067349314689636,1.3997490406036377,2.006484031677246
23,0.6066185832023621,1.401646375656128,2.0082650184631348
24,0.5970235466957092,1.4017250537872314,1.998748540878296
25,0.5978973507881165,1.4012079238891602,1.9991052150726318
26,0.5974892973899841,1.4020185470581055,1.9995079040527344
27,0.5926815867424011,1.4019711017608643,1.9946527481079102
28,0.5891496539115906,1.4012649059295654,1.9904146194458008
29,0.5791757702827454,1.3993399143218994,1.978515625
