Model,AUC,Demographic_Parity_Diff,Equalized_Odds_Diff
Baseline_LogReg,0.8063264246367127,0.25068978902422395,0.29678986022269604
Baseline_NeuralNet,0.7952760349509786,0.09056032845927135,0.22630092779346514
Baseline_RandomForest,0.7199600624788395,0.1734044969339087,0.2640849805028909
CORAL_BRFSS,0.6708515859521009,,
CORAL_DemographicParity_NHANES,0.7999784144838196,0.029809220985691574,0.12242839854780152
CORAL_EqualizedOdds_NHANES,0.7999784144838196,0.029809220985691574,0.12242839854780152
CORAL_NHANES,0.7999784144838196,0.029809220985691574,0.12242839854780152
DANN_BRFSS,0.6905613199709708,,
DANN_DemographicParity_NHANES,0.8356756197259231,0.029853382794559263,0.12344926894107222
DANN_EqualizedOdds_NHANES,0.8356756197259231,0.029853382794559263,0.12344926894107222
DANN_NHANES,0.8356756197259231,0.029853382794559263,0.12344926894107222
MMD_BRFSS,0.6763677859090084,,
MMD_DemographicParity_NHANES,0.8154502507287043,0.03961945138415726,0.16061583972031734
MMD_EqualizedOdds_NHANES,0.8154502507287043,0.03961945138415726,0.16061583972031734
MMD_NHANES,0.8154502507287043,0.03961945138415726,0.16061583972031734
