epoch,label_loss,domain_loss,total_loss
0,0.6670186519622803,1.3682477474212646,2.035266399383545
1,0.6578049063682556,1.3660454750061035,2.023850440979004
2,0.6569594740867615,1.3657810688018799,2.022740602493286
3,0.6511190533638,1.3632551431655884,2.014374256134033
4,0.6436730027198792,1.3620989322662354,2.0057718753814697
5,0.6392006278038025,1.3615124225616455,2.0007131099700928
6,0.6298815011978149,1.3634564876556396,1.9933379888534546
7,0.6238436698913574,1.3637418746948242,1.9875855445861816
8,0.6192763447761536,1.3622069358825684,1.9814832210540771
9,0.617346465587616,1.3631155490875244,1.9804620742797852
10,0.6109288334846497,1.3651117086410522,1.9760406017303467
11,0.6043922305107117,1.364551305770874,1.9689435958862305
12,0.5997715592384338,1.365081548690796,1.964853048324585
13,0.5959141850471497,1.3665614128112793,1.9624755382537842
14,0.5935366749763489,1.3680046796798706,1.9615414142608643
15,0.5898071527481079,1.3688631057739258,1.9586702585220337
16,0.5862607359886169,1.371376872062683,1.9576375484466553
17,0.5810335278511047,1.3715898990631104,1.9526233673095703
18,0.578377902507782,1.3770875930786133,1.95546555519104
19,0.5710560083389282,1.3786582946777344,1.9497143030166626
20,0.5668562650680542,1.3801703453063965,1.9470266103744507
21,0.5630422830581665,1.3818023204803467,1.9448446035385132
22,0.559196949005127,1.3855245113372803,1.9447214603424072
23,0.554696798324585,1.3867254257202148,1.9414222240447998
24,0.5478755831718445,1.3882722854614258,1.936147928237915
25,0.5481132864952087,1.396158218383789,1.9442715644836426
26,0.5445317625999451,1.397345781326294,1.9418776035308838
27,0.5387385487556458,1.4008049964904785,1.9395434856414795
28,0.5376643538475037,1.4033098220825195,1.940974235534668
29,0.5393862128257751,1.4074980020523071,1.9468841552734375
