epoch,label_loss,mmd_loss,total_loss
0,0.6663505434989929,0.05907720327377319,0.7254277467727661
1,0.6595532894134521,0.059948742389678955,0.7195020318031311
2,0.6601268649101257,0.06439495086669922,0.724521815776825
3,0.654791533946991,0.0686662495136261,0.7234578132629395
4,0.6459152102470398,0.06349983811378479,0.709415078163147
5,0.643086850643158,0.065508633852005,0.7085955142974854
6,0.639988124370575,0.05820143222808838,0.6981895565986633
7,0.6372691988945007,0.059179216623306274,0.6964484453201294
8,0.6327884793281555,0.06150120496749878,0.6942896842956543
9,0.6277908086776733,0.06087502837181091,0.6886658668518066
10,0.6237443685531616,0.060394614934921265,0.6841390132904053
11,0.6203464865684509,0.06282439827919006,0.6831709146499634
12,0.6161574125289917,0.051639169454574585,0.6677966117858887
13,0.6139447689056396,0.05904468894004822,0.6729894876480103
14,0.6065191030502319,0.055817604064941406,0.6623367071151733
15,0.602214515209198,0.048025816679000854,0.6502403020858765
16,0.604089081287384,0.0547465980052948,0.6588356494903564
17,0.5954926013946533,0.04682564735412598,0.6423182487487793
18,0.5881010890007019,0.04731673002243042,0.6354178190231323
19,0.5844577550888062,0.05147019028663635,0.6359279155731201
20,0.5813348889350891,0.04831951856613159,0.6296544075012207
21,0.5752573609352112,0.046088576316833496,0.6213459372520447
22,0.5677410960197449,0.042858123779296875,0.6105992197990417
23,0.571029543876648,0.0368344783782959,0.6078640222549438
24,0.5687310099601746,0.03385990858078003,0.6025909185409546
25,0.5623223185539246,0.03575897216796875,0.5980812907218933
26,0.5557872653007507,0.037618786096572876,0.593406081199646
27,0.5497050285339355,0.031729355454444885,0.5814343690872192
28,0.5499042272567749,0.0327814519405365,0.5826857089996338
29,0.5468997359275818,0.031584203243255615,0.5784839391708374
