epoch,label_loss,mmd_loss,total_loss
0,0.7259687781333923,0.03133097290992737,0.7572997808456421
1,0.7139291167259216,0.028706908226013184,0.7426360249519348
2,0.7072663307189941,0.03085613250732422,0.7381224632263184
3,0.7006831169128418,0.029725760221481323,0.7304089069366455
4,0.6943786144256592,0.03192394971847534,0.7263025641441345
5,0.6855280995368958,0.02893933653831482,0.7144674062728882
6,0.6754066348075867,0.028222352266311646,0.7036290168762207
7,0.6646602749824524,0.029933959245681763,0.6945942640304565
8,0.664673924446106,0.028317153453826904,0.6929910778999329
9,0.6507012248039246,0.02642759680747986,0.677128791809082
10,0.6446945071220398,0.027850210666656494,0.6725447177886963
11,0.6405295729637146,0.02579614520072937,0.6663256883621216
12,0.6388562321662903,0.02620542049407959,0.6650616526603699
13,0.6256336569786072,0.02298828959465027,0.6486219167709351
14,0.6212584972381592,0.022881001234054565,0.6441395282745361
15,0.6113050580024719,0.020767822861671448,0.6320728659629822
16,0.6097901463508606,0.020922943949699402,0.6307131052017212
17,0.6042609214782715,0.021733880043029785,0.6259948015213013
18,0.5992746353149414,0.021852508187294006,0.6211271286010742
19,0.5937849879264832,0.016942530870437622,0.6107275485992432
20,0.581166684627533,0.01731950044631958,0.5984861850738525
21,0.5881523489952087,0.017373710870742798,0.6055260896682739
22,0.5747311115264893,0.015600442886352539,0.5903315544128418
23,0.5666141510009766,0.018374621868133545,0.5849887728691101
24,0.5673285126686096,0.01666460931301117,0.583993136882782
25,0.5571003556251526,0.015104293823242188,0.5722046494483948
26,0.5592493414878845,0.013852342963218689,0.5731016993522644
27,0.5543192028999329,0.013829946517944336,0.5681491494178772
28,0.5440970063209534,0.014416664838790894,0.5585136413574219
29,0.5457186102867126,0.013000935316085815,0.5587195158004761
