Subgroup,N,Accuracy,Precision,Recall,F1,Prevalence,AUC,Brier,Model,Dataset,Demographic_Parity_Diff,Equalized_Odds_Diff
Non-Hispanic White | 18-39 | Male,425,0.8847058823529412,0.1346153846153846,0.6363636363636364,0.2222222222222222,0.02588235294117647,0.7997364953886693,0.09977748165802405,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Non-Hispanic White | 40-59 | Female,420,0.7452380952380953,0.31690140845070425,0.8181818181818182,0.45685279187817257,0.13095238095238096,0.8586799501867994,0.19409824906078227,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Non-Hispanic White | 40-59 | Male,412,0.75,0.36363636363636365,0.7164179104477612,0.4824120603015075,0.16262135922330098,0.7978801643954142,0.185265289280454,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Non-Hispanic White | 60+ | Female,627,0.5614035087719298,0.3431372549019608,0.9523809523809523,0.5045045045045045,0.23444976076555024,0.8391510770975057,0.25839990792813367,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Non-Hispanic White | 60+ | Male,667,0.5547226386806596,0.40380549682875266,0.9271844660194175,0.5625920471281296,0.30884557721139433,0.82448455236611,0.2411941170972975,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Other Hispanic | 18-39 | Female,174,0.8793103448275862,0.0,0.0,0.0,0.022988505747126436,0.6323529411764706,0.09338874724675128,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Other Hispanic | 18-39 | Male,150,0.9333333333333333,0.3076923076923077,0.8,0.4444444444444444,0.03333333333333333,0.9586206896551724,0.08363053287354343,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Other Hispanic | 40-59 | Female,149,0.7718120805369127,0.5087719298245614,0.8285714285714286,0.6304347826086957,0.2348993288590604,0.8511278195488723,0.1750664603698447,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Other Hispanic | 40-59 | Male,130,0.7384615384615385,0.4375,0.75,0.5526315789473685,0.2153846153846154,0.8340336134453782,0.18708184835409347,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Other Hispanic | 60+ | Female,155,0.5870967741935483,0.4329896907216495,0.8235294117647058,0.5675675675675675,0.32903225806451614,0.7132352941176471,0.2517652020078451,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Other Hispanic | 60+ | Male,146,0.589041095890411,0.494949494949495,0.8305084745762712,0.620253164556962,0.4041095890410959,0.7110851353984025,0.2376848751420472,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Other Race | 18-39 | Female,90,0.9111111111111111,0.36363636363636365,0.8,0.5,0.05555555555555555,0.9623529411764706,0.0961424905372463,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Other Race | 18-39 | Male,92,0.9347826086956522,0.375,0.75,0.5,0.043478260869565216,0.8806818181818182,0.08467773189524284,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Other Race | 40-59 | Female,61,0.7704918032786885,0.4090909090909091,0.9,0.5625,0.16393442622950818,0.884313725490196,0.16949683724196166,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Other Race | 40-59 | Male,77,0.6493506493506493,0.41935483870967744,0.5909090909090909,0.49056603773584906,0.2857142857142857,0.7413223140495868,0.2015031090311991,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Other Race | 60+ | Female,47,0.5957446808510638,0.4375,0.9333333333333333,0.5957446808510638,0.3191489361702128,0.6958333333333333,0.2630871938869622,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Other Race | 60+ | Male,60,0.7333333333333333,0.6486486486486487,0.8888888888888888,0.75,0.45,0.8355780022446689,0.19591943404641904,LogReg,NHANES,0.2561925314694522,0.3317045723762142
Mexican American | 18-39 | Female,209,0.8181818181818182,0.3076923076923077,0.8888888888888888,0.45714285714285713,0.0861244019138756,0.8977603257707969,0.11546226818258684,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Mexican American | 18-39 | Male,226,0.7433628318584071,0.0967741935483871,0.75,0.17142857142857143,0.035398230088495575,0.7935779816513762,0.12672248182732399,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Mexican American | 40-59 | Female,195,0.49743589743589745,0.27692307692307694,0.9,0.4235294117647059,0.20512820512820512,0.7575806451612903,0.25505371665198495,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Mexican American | 40-59 | Male,155,0.4645161290322581,0.30973451327433627,0.875,0.45751633986928103,0.25806451612903225,0.7082608695652174,0.28445384422980735,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Mexican American | 60+ | Female,116,0.646551724137931,0.6363636363636364,0.42,0.5060240963855421,0.43103448275862066,0.6746969696969698,0.22455917569525094,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Mexican American | 60+ | Male,135,0.5851851851851851,0.65625,0.3181818181818182,0.42857142857142855,0.4888888888888889,0.6325208607817304,0.24808083984465082,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Non-Hispanic Asian | 18-39 | Female,205,0.8780487804878049,0.0,0.0,0.0,0.01951219512195122,0.595771144278607,0.07413127201223908,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Non-Hispanic Asian | 18-39 | Male,176,0.8409090909090909,0.1111111111111111,0.42857142857142855,0.17647058823529413,0.03977272727272727,0.7455621301775148,0.09073880020167527,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Non-Hispanic Asian | 40-59 | Female,226,0.7035398230088495,0.30666666666666664,0.6052631578947368,0.40707964601769914,0.168141592920354,0.7746360582306832,0.16153768330106302,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Non-Hispanic Asian | 40-59 | Male,197,0.6345177664974619,0.32051282051282054,0.5681818181818182,0.4098360655737705,0.2233502538071066,0.6905080213903743,0.20552952420202883,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Non-Hispanic Asian | 60+ | Female,144,0.6527777777777778,0.5333333333333333,0.1568627450980392,0.24242424242424243,0.3541666666666667,0.6100569259962048,0.23783796292819367,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Non-Hispanic Asian | 60+ | Male,123,0.5934959349593496,0.7692307692307693,0.17543859649122806,0.2857142857142857,0.4634146341463415,0.5891812865497076,0.30602420534118757,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Non-Hispanic Black | 18-39 | Female,429,0.7319347319347319,0.10084033613445378,0.6,0.17266187050359713,0.046620046620046623,0.7778728606356968,0.1511534009935324,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Non-Hispanic Black | 18-39 | Male,328,0.8353658536585366,0.1016949152542373,0.8571428571428571,0.18181818181818182,0.021341463414634148,0.9368046283934135,0.08923282166214994,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Non-Hispanic Black | 40-59 | Female,399,0.49874686716791977,0.299625468164794,0.8602150537634409,0.4444444444444444,0.23308270676691728,0.7184798650643053,0.2677101987786751,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Non-Hispanic Black | 40-59 | Male,349,0.5530085959885387,0.30660377358490565,0.8783783783783784,0.45454545454545453,0.21203438395415472,0.7276658476658477,0.2481308036681104,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Non-Hispanic Black | 60+ | Female,398,0.6909547738693468,0.6052631578947368,0.33093525179856115,0.42790697674418604,0.3492462311557789,0.6693425182633816,0.20905922794768841,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Non-Hispanic Black | 60+ | Male,423,0.6879432624113475,0.7169811320754716,0.24516129032258063,0.36538461538461536,0.3664302600472813,0.6736759749638902,0.21780271334103107,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Non-Hispanic White | 18-39 | Female,475,0.7768421052631579,0.08490566037735849,0.5,0.14516129032258066,0.037894736842105266,0.7991125699003161,0.11885462935496563,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Non-Hispanic White | 18-39 | Male,425,0.7811764705882352,0.07291666666666667,0.6363636363636364,0.1308411214953271,0.02588235294117647,0.7310057092665788,0.1196391393156523,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Non-Hispanic White | 40-59 | Female,420,0.5833333333333334,0.23684210526315788,0.9818181818181818,0.38162544169611307,0.13095238095238096,0.8590286425902864,0.2179169898508213,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Non-Hispanic White | 40-59 | Male,412,0.5339805825242718,0.24066390041493776,0.8656716417910447,0.37662337662337664,0.16262135922330098,0.7366428725935539,0.2425838753681394,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Non-Hispanic White | 60+ | Female,627,0.7830940988835726,0.5964912280701754,0.23129251700680273,0.3333333333333333,0.23444976076555024,0.7343324829931972,0.15931872458026095,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Non-Hispanic White | 60+ | Male,667,0.7481259370314842,0.7435897435897436,0.2815533980582524,0.4084507042253521,0.30884557721139433,0.6851978602868395,0.1918169624555311,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Other Hispanic | 18-39 | Female,174,0.7873563218390804,0.05405405405405406,0.5,0.0975609756097561,0.022988505747126436,0.7676470588235295,0.10855758386136849,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Other Hispanic | 18-39 | Male,150,0.8066666666666666,0.1,0.6,0.17142857142857143,0.03333333333333333,0.7986206896551724,0.10954439935286077,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Other Hispanic | 40-59 | Female,149,0.5570469798657718,0.3258426966292135,0.8285714285714286,0.46774193548387094,0.2348993288590604,0.7270676691729323,0.23674332040546384,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Other Hispanic | 40-59 | Male,130,0.4307692307692308,0.24444444444444444,0.7857142857142857,0.3728813559322034,0.2153846153846154,0.704656862745098,0.2768365451010357,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Other Hispanic | 60+ | Female,155,0.7032258064516129,0.6086956521739131,0.27450980392156865,0.3783783783783784,0.32903225806451614,0.6455505279034691,0.20549850196045116,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
